Chain,label
1A22_A,57
1A22_B,66
1A4Y_A,39
1A4Y_B,2
1ACB_A,1
1ACB_B,4
1AK4_A,52
1AK4_B,8
1B2S_A,25
1B2S_B,19
1B2U_A,25
1B2U_B,19
1B3S_A,25
1B3S_B,19
1BRS_A,25
1BRS_B,19
1CSE_A,13
1CSE_B,4
1CSO_A,14
1CSO_B,15
1CT0_A,14
1CT0_B,15
1CT2_A,14
1CT2_B,15
1CT4_A,14
1CT4_B,15
1E96_A,0
1E96_B,72
1EAW_A,1
1EAW_B,11
1EFN_A,69
1EFN_B,73
1EMV_A,3
1EMV_B,5
1F47_A,45
1F47_B,60
1FC2_A,59
1FC2_B,16
1FCC_A,16
1FCC_B,75
1FFW_A,70
1FFW_B,76
1FR2_A,3
1FR2_B,5
1GC1_A,56
1GC1_B,58
1GL0_A,1
1GL0_B,6
1GL1_A,1
1GL1_B,6
1H9D_A,47
1H9D_B,68
1HE8_A,29
1HE8_B,0
1IAR_A,63
1IAR_B,34
1JCK_A,24
1JCK_B,7
1JTG_A,9
1JTG_B,31
1KAC_A,18
1KAC_B,12
1KTZ_A,10
1KTZ_B,77
1LFD_A,71
1LFD_B,0
1M9E_A,52
1M9E_B,8
1MAH_A,51
1MAH_B,65
1P69_A,18
1P69_B,12
1P6A_A,18
1P6A_B,12
1PPF_A,1
1PPF_B,15
1R0R_A,13
1R0R_B,15
1S0W_A,9
1S0W_B,31
1S1Q_A,64
1S1Q_B,40
1SBB_A,24
1SBB_B,7
1SBN_A,13
1SBN_B,4
1SGD_A,14
1SGD_B,15
1SGE_A,14
1SGE_B,15
1SGN_A,14
1SGN_B,15
1SGP_A,14
1SGP_B,15
1SGQ_A,14
1SGQ_B,15
1SGY_A,14
1SGY_B,15
1SIB_A,13
1SIB_B,4
1TM1_A,13
1TM1_B,4
1TM3_A,13
1TM3_B,4
1TM4_A,13
1TM4_B,4
1TM5_A,13
1TM5_B,4
1TM7_A,13
1TM7_B,4
1TMG_A,13
1TMG_B,4
1TO1_A,13
1TO1_B,4
1UUZ_A,49
1UUZ_B,28
1X1X_A,25
1X1X_B,19
1XD3_A,42
1XD3_B,40
1Y1K_A,13
1Y1K_B,4
1Y33_A,13
1Y33_B,4
1Y34_A,13
1Y34_B,4
1Y3B_A,13
1Y3B_B,4
1Z7X_A,39
1Z7X_B,2
2A9K_A,0
2A9K_B,32
2AJF_A,74
2AJF_B,55
2B0Z_A,23
2B0Z_B,21
2B10_A,23
2B10_B,21
2B11_A,23
2B11_B,21
2B12_A,23
2B12_B,21
2B42_A,46
2B42_B,53
2BTF_A,54
2BTF_B,50
2FTL_A,1
2FTL_B,11
2G2U_A,9
2G2U_B,31
2G2W_A,9
2G2W_B,31
2GYK_A,3
2GYK_B,5
2HLE_A,62
2HLE_B,44
2HRK_A,35
2HRK_B,67
2I26_A,37
2I26_B,28
2I9B_A,36
2I9B_B,33
2J0T_A,17
2J0T_B,61
2J1K_A,78
2J1K_B,12
2NU0_A,14
2NU0_B,15
2NU1_A,14
2NU1_B,15
2NU2_A,14
2NU2_B,15
2NU4_A,14
2NU4_B,15
2O3B_A,43
2O3B_B,41
2OOB_A,27
2OOB_B,40
2PCB_A,23
2PCB_B,21
2PCC_A,23
2PCC_B,21
2SGP_A,14
2SGP_B,15
2SGQ_A,14
2SGQ_B,15
2SIC_A,13
2SIC_B,48
2VLN_A,3
2VLN_B,5
2VLO_A,3
2VLO_B,5
2VLQ_A,3
2VLQ_B,5
2WPT_A,3
2WPT_B,5
3BK3_A,10
3BK3_B,20
3BP8_A,26
3BP8_B,22
3BTD_A,1
3BTD_B,11
3BTE_A,1
3BTE_B,11
3BTF_A,1
3BTF_B,11
3BTG_A,1
3BTG_B,11
3BTH_A,1
3BTH_B,11
3BTM_A,1
3BTM_B,11
3BTQ_A,1
3BTQ_B,11
3BTT_A,1
3BTT_B,11
3BTW_A,1
3BTW_B,11
3SGB_A,14
3SGB_B,15
4CPA_A,38
4CPA_B,30
